aligner,dataset,testcase,Q_score,time_elapsed_ms
MAli-v1.31,BALIS-1,BB11004,0.0851,10241
MAli-v1.31,BALIS-1,BB11005,0.0512,14767
MAli-v1.31,BALIS-1,BB11008,0.245,13136
MAli-v1.31,BALIS-1,BB11009,0.0917,8319
MAli-v1.31,BALIS-1,BB11011,0.115,6031
MAli-v1.31,BALIS-1,BB11014,0.614,14710
MAli-v1.31,BALIS-1,BB11015,0.437,7516
MAli-v1.31,BALIS-1,BB11016,0.00779,16754
MAli-v1.31,BALIS-1,BB11018,0.0718,23650
MAli-v1.31,BALIS-1,BB11019,0.278,9949
MAli-v1.31,BALIS-1,BB11021,0.231,3551
MAli-v1.31,BALIS-1,BB11022,0.0505,5957
MAli-v1.31,BALIS-1,BB11025,0.0526,2545
MAli-v1.31,BALIS-1,BB11027,0.0517,9196
MAli-v1.31,BALIS-1,BB11029,0.176,3837
MAli-v1.31,BALIS-1,BB11031,0.0691,17059
MAli-v1.31,BALIS-1,BB11033,0.0566,6421
MAli-v1.31,BALIS-1,BB11038,0.199,18709
MAli-v1.31,BALIS-1,BB12005,0.837,5030
MAli-v1.31,BALIS-1,BB12013,0.93,16053
MAli-v1.31,BALIS-1,BB12014,0.84,2194
MAli-v1.31,BALIS-1,BB12016,0.658,2794
MAli-v1.31,BALIS-1,BB12021,0.91,2185
MAli-v1.31,BALIS-1,BB12024,0.875,5588
MAli-v1.31,BALIS-1,BB12026,0.837,5879
MAli-v1.31,BALIS-1,BB12028,0.523,7439
MAli-v1.31,BALIS-1,BB12037,0.928,12744
MAli-v1.31,BALIS-1,BB12039,0.905,7449
MAli-v1.31,BALIS-1,BB20001,0.76,2376
MAli-v1.31,BALIS-1,BB20003,0.412,10920
MAli-v1.31,BALIS-1,BB20006,0.69,5825
MAli-v1.31,BALIS-1,BB20007,0.391,14013
MAli-v1.31,BALIS-1,BB20008,0.436,12387
MAli-v1.31,BALIS-1,BB20012,0.00629,11823
MAli-v1.31,BALIS-1,BB20014,0.219,5806
MAli-v1.31,BALIS-1,BB20015,0.0,2638
MAli-v1.31,BALIS-1,BB20017,0.317,15411
MAli-v1.31,BALIS-1,BB20021,0.105,18720
MAli-v1.31,BALIS-1,BB20022,0.321,10280
MAli-v1.31,BALIS-1,BB20023,0.268,9084
MAli-v1.31,BALIS-1,BB20024,0.0,5282
MAli-v1.31,BALIS-1,BB20027,0.31,11416
MAli-v1.31,BALIS-1,BB20041,0.00221,17099
MAli-v1.31,BALIS-1,BB30001,0.701,13518
MAli-v1.31,BALIS-1,BB30004,0.535,14368
MAli-v1.31,BALIS-1,BB30006,0.602,14822
MAli-v1.31,BALIS-1,BB30008,0.0332,12637
MAli-v1.31,BALIS-1,BB30011,0.639,8288
MAli-v1.31,BALIS-1,BB30014,0.422,6106
MAli-v1.31,BALIS-1,BB30015,0.6,15564
MAli-v1.31,BALIS-1,BB30016,0.0,6126
MAli-v1.31,BALIS-1,BB30017,0.126,8224
MAli-v1.31,BALIS-1,BB30018,0.32,10371
MAli-v1.31,BALIS-1,BB30019,0.258,20280
MAli-v1.31,BALIS-1,BB30021,0.0795,11998
MAli-v1.31,BALIS-1,BB30022,0.431,2779
MAli-v1.31,BALIS-1,BB30023,0.475,9345
MAli-v1.31,BALIS-1,BB30025,0.213,3398
MAli-v1.31,BALIS-1,BB30026,0.475,11194
MAli-v1.31,BALIS-1,BB30027,0.355,4364
MAli-v1.31,BALIS-1,BB30028,0.0,10243
MAli-v1.31,BALIS-1,BB40008,0.538,13501
MAli-v1.31,BALIS-1,BB40009,0.692,10885
MAli-v1.31,BALIS-1,BB40015,0.611,3104
MAli-v1.31,BALIS-1,BB40016,0.935,5395
MAli-v1.31,BALIS-1,BB40018,0.69,3080
MAli-v1.31,BALIS-1,BB40019,0.79,10829
MAli-v1.31,BALIS-1,BB40022,0.967,5190
MAli-v1.31,BALIS-1,BB40024,0.302,15179
MAli-v1.31,BALIS-1,BB40025,0.799,6195
MAli-v1.31,BALIS-1,BB40026,0.113,17971
MAli-v1.31,BALIS-1,BB40027,0.247,9393
MAli-v1.31,BALIS-1,BB40028,0.832,5872
MAli-v1.31,BALIS-1,BB40029,0.738,12705
MAli-v1.31,BALIS-1,BB40033,0.368,10366
MAli-v1.31,BALIS-1,BB40036,0.892,10857
MAli-v1.31,BALIS-1,BB40037,0.233,7175
MAli-v1.31,BALIS-1,BB40038,0.505,2730
MAli-v1.31,BALIS-1,BB40039,0.73,13258
MAli-v1.31,BALIS-1,BB40041,0.279,29411
MAli-v1.31,BALIS-1,BB40046,0.137,20818
MAli-v1.31,BALIS-1,BB40049,0.312,10640
MAli-v1.31,BALIS-1,BB50001,0.34,9640
MAli-v1.31,BALIS-1,BB50004,0.961,9601
MAli-v1.31,BALIS-1,BB50005,0.971,15817
MAli-v1.31,BALIS-1,BB50007,0.16,8437
MAli-v1.31,BALIS-1,BB50008,0.894,5739
MAli-v1.31,BALIS-1,BB50011,0.49,7306
MAli-v1.31,BALIS-1,BB50012,0.549,10784
MAli-v1.31,BALIS-1,BB50014,0.737,14362
